TUCASEID,YEAR,CASEID,SERIAL,REGION,STATEFIP,FAMINCOME,HOUSETYPE,PERNUM,LINENO,WT06,AGE,SEX,RACE,MARST,CITIZEN,GENHEALTH,HEIGHT,WEIGHT,BMI,EDUC,EDUCYRS,EMPSTAT,MULTJOBS,DIFFEYE,DIFFHEAR,DIFFMOB,DIFFPHYS,DIFFREM,Caring,CaringNonHouseHold,ConsumerPuchases,EatingDrinking,Education,GovernmentServicesCivicDuties,HouseActivities,HouseholdServices,Personal_Care,ProfessionalPersonalCareServices,ReligionSpiritualActivities,SocializingAndLesiure,SportsExercisRecreation,Telephone,Traveling,Volunteering,Working
,2022,20220101220688,12,South,Texas,"$60,000 to $74,999","House, apartment, flat",1,1,21269537,34,Female,Asian only,Married - spouse present,"Foreign born, not a U.S. citizen",Good,67,171,26.8,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",Master's degree,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,30,50,0,0,125,0,585,0,0,510,0,90,50,0,0
,2022,20220101220694,13,Midwest,Wisconsin,"$50,000 to $59,999","House, apartment, flat",1,1,2733799,85,Male,White only,Widowed,"Foreign born, U.S. citizen by naturalization",Very good,69,150,22.1,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Not in labor force,NIU (Not in universe),Has vision difficulty,Has hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,60,0,0,100,0,630,0,0,650,0,0,0,0,0
,2022,20220101220695,14,West,Washington,"$20,000 to $24,999","House, apartment, flat",1,1,3682519,61,Male,White only,Married - spouse present,"Native, born in United States",Poor,72,210,28.5,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",Master's degree,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,90,0,0,0,0,660,0,0,690,0,0,0,0,0
,2022,20220101220720,15,Northeast,Massachusetts,"$12,500 to $14,999","House, apartment, flat",1,1,5691651,70,Male,White only,Divorced,"Native, born in United States",Very good,68,155,23.6,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",Master's degree,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,60,140,0,0,155,0,570,20,0,340,0,0,35,0,120
,2022,20220101220721,16,South,Texas,"$75,000 to $99,999","House, apartment, flat",1,1,9432107,42,Male,White only,Widowed,"Native, born in United States",Good,67,230,36,High school graduate - diploma,Twelfth grade,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,688,0,5,75,0,0,10,0,390,0,0,240,0,0,32,0,0
,2022,20220101220722,17,South,Georgia,"$100,000 to $149,999","House, apartment, flat",1,1,6133998,38,Female,White only,Married - spouse present,"Native, born in United States",Very good,64,143,24.5,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",Master's degree,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,75,0,0,60,0,0,210,0,540,0,0,555,0,0,0,0,0
,2022,20220101220736,18,South,Texas,"$25,000 to $29,999","House, apartment, flat",1,1,2352508,74,Female,White only,Divorced,"Native, born in United States",Fair,58,120,25.1,Some college but no degree,College--one year,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,Has physical difficulty,No difficulty remembering,0,0,0,25,0,0,150,0,680,0,120,210,0,0,115,140,0
,2022,20220101220764,19,Northeast,Massachusetts,"$100,000 to $149,999","House, apartment, flat",1,1,4000941,69,Female,White only,Widowed,"Native, born in United States",Excellent,63,9996,998,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,90,80,0,0,192,0,522,0,60,336,0,0,40,0,0
,2022,20220101220766,20,Midwest,Ohio,"$150,000 and over","House, apartment, flat",1,1,12782095,60,Male,White only,Married - spouse present,"Native, born in United States",Good,72,218,29.6,Some college but no degree,College--one year,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,20,0,0,56,0,420,0,0,332,90,0,72,0,450
,2022,20220101220767,21,South,North Carolina,"$75,000 to $99,999","House, apartment, flat",1,1,2770719,80,Male,White only,Never married,"Native, born in United States",Very good,67,193,30.2,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",Master's degree,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,15,150,0,0,285,0,620,0,0,315,0,20,35,0,0
,2022,20220101220778,22,West,Nevada,"$40,000 to $49,999","House, apartment, flat",1,1,7307910,69,Male,White only,Married - spouse present,"Native, born in United States",Good,71,175,24.4,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,45,90,0,0,0,0,495,0,0,510,60,0,120,0,0
,2022,20220101220796,23,Northeast,New Hampshire,"$15,000 to $19,999",Mobile home or trailer with no permanent room added,1,1,2597959,69,Female,White only,Divorced,"Native, born in United States",Good,62,212,38.8,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Not in labor force,NIU (Not in universe),Has vision difficulty,No hearing difficulty,No mobility limitation,Has physical difficulty,No difficulty remembering,0,0,0,15,0,0,177,0,545,0,0,703,0,0,0,0,0
,2022,20220101220809,24,Northeast,New Jersey,"$100,000 to $149,999","House, apartment, flat",1,1,2133306,45,Female,White only,Married - spouse present,"Native, born in United States",Good,62,153,28,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",Master's degree,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,10,80,0,90,0,0,230,0,645,0,0,235,0,60,30,0,0
,2022,20220101220811,25,Northeast,Pennsylvania,"$40,000 to $49,999","House, apartment, flat",1,1,7279924,71,Female,White only,Married - spouse present,"Native, born in United States",Good,64,160,27.5,Associate degree - academic program,College--two years,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,60,0,0,225,0,660,0,0,375,120,0,0,0,0
,2022,20220101220876,26,South,Virginia,"$150,000 and over","House, apartment, flat",1,1,5607179,68,Male,White only,Married - spouse present,"Foreign born, U.S. citizen by naturalization",Excellent,69,150,22.1,"Doctoral degree (PhD, EdD, etc.)",Doctoral degree,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,10,40,0,0,15,0,660,0,60,510,60,55,30,0,0
,2022,20220101220877,27,South,Arkansas,"$40,000 to $49,999","House, apartment, flat",1,1,4225918,80,Female,White only,Widowed,"Native, born in United States",Very good,60,125,24.4,Associate degree - occupational vocational,College--four years,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,65,45,0,0,125,0,630,0,0,120,0,0,80,250,0
,2022,20220101220882,28,West,California,"$150,000 and over","House, apartment, flat",1,1,7141275,73,Female,White only,Married - spouse present,"Native, born in United States",Excellent,65,121,20.1,Some college but no degree,Twelfth grade,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,15,240,0,0,60,0,570,0,0,449,90,0,16,0,0
,2022,20220101220890,29,Midwest,Minnesota,"$100,000 to $149,999","House, apartment, flat",1,1,5320995,45,Female,White only,Married - spouse present,"Native, born in United States",Good,67,235,36.8,Associate degree - academic program,College--two years,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,30,0,45,20,0,0,310,0,690,0,0,240,0,0,0,0,0
,2022,20220101220902,30,South,Texas,"$75,000 to $99,999","House, apartment, flat",1,1,8714776,71,Female,White only,Married - spouse present,"Native, born in United States",Good,59,9997,998,Some college but no degree,College--two years,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,180,130,0,0,110,0,600,0,120,260,0,0,40,0,0
,2022,20220101220918,31,Midwest,Wisconsin,"$150,000 and over","House, apartment, flat",1,1,6591459,53,Male,White only,Married - spouse present,"Native, born in United States",Good,76,280,34.1,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,32,75,0,0,60,0,623,26,0,580,0,30,14,0,0
,2022,20220101220940,32,South,South Carolina,"$150,000 and over","House, apartment, flat",1,1,4097853,34,Female,White only,Married - spouse present,"Native, born in United States",Very good,64,175,30,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Employed - at work,Yes,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,277,0,0,120,0,0,180,0,600,0,0,227,0,0,36,0,0
,2022,20220101220971,33,South,Florida,"$60,000 to $74,999","House, apartment, flat",1,1,10247255,78,Male,Black only,Widowed,"Native, born in United States",Good,66,190,30.7,High school graduate - diploma,Twelfth grade,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,30,0,0,60,0,615,0,0,735,0,0,0,0,0
,2022,20220101220976,34,South,Florida,"$100,000 to $149,999","House, apartment, flat",1,1,18240100,47,Male,White only,Married - spouse present,"Foreign born, U.S. citizen by naturalization",NIU (Not in universe),NIU (Not in universe),9999,999,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",Master's degree,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,146,0,0,35,0,0,107,0,540,0,0,149,0,0,81,0,382
,2022,20220101220989,35,South,Tennessee,"$30,000 to $34,999","House, apartment, flat",1,1,82485983,20,Female,White only,Never married,"Native, born in United States",Very good,64,120,20.6,High school graduate - diploma,Twelfth grade,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,110,0,0,210,0,640,0,45,350,0,85,0,0,0
,2022,20220101221007,36,Northeast,Massachusetts,"$150,000 and over","House, apartment, flat",1,1,4543270,45,Male,White only,Married - spouse present,"Foreign born, U.S. citizen by naturalization",Good,75,235,29.4,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",Master's degree,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,20,0,0,270,0,657,0,0,490,0,0,3,0,0
,2022,20220101221025,37,Northeast,Pennsylvania,"$50,000 to $59,999","House, apartment, flat",1,1,5641318,75,Female,White only,Married - spouse present,"Native, born in United States",Very good,56,170,38.1,High school graduate - diploma,Twelfth grade,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,15,5,10,90,0,0,60,0,675,0,120,210,60,0,190,0,0
,2022,20220101221028,38,South,Alabama,"$150,000 and over","House, apartment, flat",1,1,10264680,46,Male,White only,Married - spouse present,"Native, born in United States",Very good,70,175,25.1,"Doctoral degree (PhD, EdD, etc.)",Doctoral degree,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,5,0,65,0,0,180,0,685,0,140,335,0,0,30,0,0
,2022,20220101221043,39,Midwest,North Dakota,"$40,000 to $49,999","House, apartment, flat",1,1,7502902,49,Male,White only,Never married,"Native, born in United States",Fair,71,325,45.3,High school graduate - diploma,Twelfth grade,Unemployed - looking,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,30,0,0,45,0,660,0,0,225,0,0,0,0,480
,2022,20220101221046,40,South,Florida,"$35,000 to $39,999","House, apartment, flat",1,1,6183555,77,Female,White only,Married - spouse present,"Native, born in United States",Poor,62,175,32,Some college but no degree,College--two years,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,10,95,0,0,161,0,639,120,0,360,0,0,55,0,0
,2022,20220101221063,41,South,North Carolina,"$75,000 to $99,999","House, apartment, flat",1,1,6197953,76,Female,White only,Married - spouse present,"Native, born in United States",Excellent,64,140,24,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",Master's degree,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,105,0,0,55,0,635,0,0,285,0,0,0,0,360
,2022,20220101221066,42,Midwest,Indiana,"Less than $5,000",Mobile home or trailer with no permanent room added,1,1,12720815,61,Female,White only,Divorced,"Native, born in United States",Poor,56,125,28,High school graduate - GED,Seventh through eighth grade,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,Has mobility limitation,Has physical difficulty,Has difficulty remembering,0,0,20,7,0,2,60,0,780,0,0,516,0,30,25,0,0
,2022,20220101221076,43,South,North Carolina,"$75,000 to $99,999","House, apartment, flat",1,1,9473905,68,Male,White only,Married - spouse present,"Native, born in United States",Fair,71,168,23.4,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,75,0,0,215,0,570,0,0,580,0,0,0,0,0
,2022,20220101221099,44,Northeast,New York,"$40,000 to $49,999","House, apartment, flat",1,1,20550070,68,Male,White only,Married - spouse present,"Native, born in United States",Very good,66,165,26.6,High school graduate - diploma,Twelfth grade,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,30,0,0,180,0,485,0,0,685,60,0,0,0,0
,2022,20220101221113,45,West,Washington,"$40,000 to $49,999","House, apartment, flat",1,1,3433056,60,Male,White only,Married - spouse present,"Native, born in United States",Fair,68,225,34.2,Some college but no degree,Twelfth grade,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,45,0,0,170,0,490,0,0,735,0,0,0,0,0
,2022,20220101221164,46,Midwest,Missouri,"$75,000 to $99,999","House, apartment, flat",1,1,5818909,70,Female,White only,Married - spouse present,"Native, born in United States",Good,64,140,24,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",Master's degree,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,40,0,0,190,0,555,0,0,195,0,115,0,165,0
,2022,20220101221167,47,South,Texas,"$100,000 to $149,999","House, apartment, flat",1,1,19517277,33,Female,White only,Never married,"Native, born in United States",Good,67,9996,998,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",Master's degree,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,15,0,75,0,0,15,0,467,0,0,75,0,90,118,0,585
,2022,20220101221187,48,South,North Carolina,"Less than $5,000","House, apartment, flat",1,1,11419705,15,Female,White only,Never married,"Native, born in United States",Good,65,190,31.6,7th or 8th grade,Seventh through eighth grade,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,15,120,0,45,0,895,0,0,365,0,0,0,0,0
,2022,20220101221192,49,West,Arizona,"$40,000 to $49,999","House, apartment, flat",1,1,14428507,15,Female,White only,Never married,"Native, born in United States",Good,61,98,18.5,9th grade,Ninth grade,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,60,60,120,0,155,0,680,0,0,345,0,0,20,0,0
,2022,20220101221199,50,Northeast,New York,"$25,000 to $29,999","House, apartment, flat",1,1,5708997,77,Female,White only,Married - spouse present,"Native, born in United States",Very good,61,160,30.2,Some college but no degree,Twelfth grade,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,20,0,15,0,0,245,0,600,0,200,220,0,0,140,0,0
,2022,20220101221221,51,South,Virginia,"$50,000 to $59,999","House, apartment, flat",1,1,18695561,55,Female,White only,Married - spouse present,"Native, born in United States",Good,70,125,17.9,High school graduate - diploma,Twelfth grade,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,450,15,165,0,0,45,15,516,0,0,120,0,30,84,0,0
,2022,20220101221224,52,South,Florida,"$20,000 to $24,999","House, apartment, flat",1,1,16347614,49,Male,White only,Married - spouse present,"Foreign born, not a U.S. citizen",Good,67,172,26.9,11th grade,Eleventh grade,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,130,25,0,0,370,0,420,0,0,395,0,0,100,0,0
,2022,20220101221230,53,West,Idaho,"$100,000 to $149,999","House, apartment, flat",1,1,4313012,46,Female,White only,Married - spouse present,"Native, born in United States",Very good,66,130,21,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,30,0,0,450,0,650,0,0,300,0,0,10,0,0
,2022,20220101221237,54,South,West Virginia,"$100,000 to $149,999","House, apartment, flat",1,1,6852836,42,Male,White-American Indian,Married - spouse present,"Native, born in United States",Good,74,305,39.2,High school graduate - diploma,Twelfth grade,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,19,90,0,0,90,0,770,105,0,292,0,0,74,0,0
,2022,20220101221242,55,West,Washington,"$75,000 to $99,999","House, apartment, flat",1,1,4638618,35,Male,White only,Never married,"Native, born in United States",Good,70,260,37.3,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,30,20,0,0,482,0,703,75,0,85,0,0,45,0,0
,2022,20220101221254,56,South,North Carolina,"$10,000 to $12,499",Mobile home or trailer with 1 or more rooms added,1,1,2883985,68,Female,White only,Widowed,"Native, born in United States",Fair,64,214,36.7,7th or 8th grade,Seventh through eighth grade,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,35,30,0,0,30,0,802,0,215,300,0,0,28,0,0
,2022,20220101221282,57,South,Georgia,"$100,000 to $149,999","House, apartment, flat",1,1,4058502,67,Female,White only,Married - spouse present,"Native, born in United States",Very good,67,197,30.9,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",Master's degree,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,45,0,100,0,0,190,0,675,0,0,400,30,0,0,0,0
,2022,20220101221291,58,Northeast,New York,"$12,500 to $14,999","House, apartment, flat",1,1,8255141,57,Male,Black only,Never married,"Native, born in United States",Very good,67,170,26.6,Some college but no degree,Twelfth grade,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,Has mobility limitation,No physical difficulty,Has difficulty remembering,0,0,0,30,0,0,0,0,645,0,0,720,0,45,0,0,0
,2022,20220101221300,59,West,California,"$100,000 to $149,999","House, apartment, flat",1,1,12211159,56,Male,White only,Married - spouse present,"Foreign born, U.S. citizen by naturalization",Very good,64,165,28.3,Some college but no degree,College--two years,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,0,65,0,0,45,0,560,0,0,180,40,20,50,0,480
,2022,20220101221311,60,Northeast,New York,"$20,000 to $24,999",Mobile home or trailer with no permanent room added,1,1,4193024,85,Female,White only,Widowed,"Native, born in United States",Good,61,145,27.4,Associate degree - occupational vocational,College--two years,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,Has physical difficulty,No difficulty remembering,0,0,15,10,0,0,185,0,645,0,60,360,0,0,30,20,0
,2022,20220101221318,61,South,Tennessee,"$10,000 to $12,499","House, apartment, flat",1,1,12664070,62,Male,Black only,Widowed,"Native, born in United States",Fair,68,170,25.8,10th grade,Tenth grade,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,Has difficulty remembering,0,0,0,57,0,0,0,0,812,0,0,571,0,0,0,0,0
,2022,20220101221323,62,West,California,"$75,000 to $99,999","House, apartment, flat",1,1,12017562,56,Male,White only,Married - spouse present,"Foreign born, not a U.S. citizen",Very good,65,160,26.6,High school graduate - diploma,Twelfth grade,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,0,0,45,105,0,0,295,0,570,0,0,395,0,0,30,0,0
,2022,20220101221372,63,Northeast,Pennsylvania,"$150,000 and over","House, apartment, flat",1,1,13317070,48,Female,White only,Married - spouse present,"Native, born in United States",Very good,64,128,22,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,147,4,20,80,0,0,140,15,540,0,0,175,180,0,139,0,0
,2022,20220101221374,64,South,Tennessee,"$40,000 to $49,999","House, apartment, flat",1,1,4548064,30,Female,White only,Married - spouse present,"Native, born in United States",Fair,64,175,30,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Not in labor force,NIU (Not in universe),No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,75,0,0,10,0,0,10,0,545,0,120,660,0,0,20,0,0
,2022,20220101221377,65,West,Washington,"$25,000 to $29,999","House, apartment, flat",1,1,5978787,69,Male,White only,Never married,"Native, born in United States",Very good,70,220,31.6,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,Has physical difficulty,No difficulty remembering,0,0,0,120,0,0,195,0,420,0,0,345,0,0,0,0,360
,2022,20220101221402,66,Northeast,Connecticut,"$150,000 and over","House, apartment, flat",1,1,4609325,44,Male,White only,Married - spouse present,"Native, born in United States",Good,69,200,29.5,"Bachelor's degree (BA, AB, BS, etc.)",Bachelor's degree,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,105,0,60,80,0,0,135,0,510,0,0,380,0,0,35,0,135
,2022,20220101221404,67,West,Oregon,"$75,000 to $99,999","House, apartment, flat",1,1,6297859,54,Female,White only,Married - spouse present,"Native, born in United States",Good,64,226,38.8,10th grade,Tenth grade,Employed - at work,No,No vision difficulty,No hearing difficulty,No mobility limitation,No physical difficulty,No difficulty remembering,256,0,0,50,0,0,200,0,679,0,0,95,0,0,0,0,0
