country,year,region,startdate,startfrac,enddate,endfrac,protesterviolence,location,participants,participantsizeindicator,protesteridentity,protesterdemand1,protesterdemand2,protesterdemand3,protesterdemand4,stateresponse1,stateresponse2,stateresponse3,stateresponse4,stateresponse5,stateresponse6,stateresponse7
Canada,2016,North America,2/2/2016,2016.09,2/2/2016,2016.09,0,"Parliament Hill, Ottowa; national",250-300,1,taxi drivers against uber,labor wage dispute,,,,ignore,,,,,,
Canada,2016,North America,2/10/2016,2016.11,2/10/2016,2016.11,0,Montreal  Pierre Elliot Trudeau International Airport; national,hundreds,1,taxi drivers against uber,labor wage dispute,,,,ignore,,,,,,
Canada,2016,North America,2/25/2016,2016.15,2/25/2016,2016.15,0,"Toronto, Ontario",more than 200,1,canadian union of public employees,labor wage dispute,,,,ignore,,,,,,
Canada,2016,North America,3/20/2016,2016.26,4/4/2016,2016.26,0,"Toronto, Ontario",hundreds,1,black lives matter,police brutality,,,,crowd dispersal,,,,,,
Canada,2016,North America,3/24/2016,2016.23,3/24/2016,2016.23,0,"Toronto, Ontario",dozens,0,women,"political behavior, process",,,,arrests,,,,,,
Canada,2016,North America,4/12/2016,2016.28,4/12/2016,2016.28,0,"Queen s Park, Toronto",more than 200,1,ontario autism coalition,"political behavior, process",,,,accomodation,,,,,,
Canada,2016,North America,4/14/2016,2016.28,4/14/2016,2016.28,0,Toronto,a group,0,aboriginal activists,"political behavior, process",,,,ignore,,,,,,
Canada,2016,North America,4/23/2016,2016.31,4/23/2016,2016.31,0,Toronto,about 300,1,concerned ontario doctors,"political behavior, process",,,,ignore,,,,,,
Canada,2016,North America,7/30/2016,2016.58,7/30/2016,2016.58,0,Ottowa; National,more than 500,1,black lives matter,police brutality,,,,ignore,,,,,,
Canada,2016,North America,10/13/2016,2016.86,11/11/2016,2016.86,0,Labrador,busloads,1,indigenous residents,"political behavior, process",,,,arrests,,,,,,
Canada,2017,North America,10/1/2017,2017.82,10/26/2017,2017.82,0,Montreal,50,0,muslim council of montreal,social restrictions,,,,ignore,,,,,,
Canada,2018,North America,2/9/2018,2018.11,2/9/2018,2018.11,0,Saskatchewan,widespread,1,indigenous,"political behavior, process",,,,accomodation,,,,,,
Canada,2018,North America,3/17/2018,2018.23,3/25/2018,2018.23,0,Toronto; national,thousands,3,march for our lives,social restrictions,,,,accomodation,,,,,,
Canada,2019,North America,1/7/2019,2019.02,1/8/2019,2019.02,0,British Columbia; national,100,1,residents; activists,land farm issue,,,,arrests,,,,,,
Canada,2019,North America,1/8/2019,2019.02,1/8/2019,2019.02,0,"Calgary, Alberta",50,0,pro pipeline demonstrators,land farm issue,,,,ignore,,,,,,
Canada,2019,North America,1/26/2019,2019.07,1/26/2019,2019.07,0,British Columbia,50,0,wet suwet en tribe,land farm issue,,,,crowd dispersal,arrests,,,,,
Canada,2019,North America,6/18/2019,2019.46,6/18/2019,2019.46,0,Vancouver,60,0,protesters,land farm issue,,,,ignore,,,,,,
Canada,2019,North America,7/6/2019,2019.51,7/6/2019,2019.51,0,Edmonton,thousands,3,lgbt activists,social restrictions,,,,ignore,,,,,,
Canada,2020,North America,2/10/2020,2020.15,2/24/2020,2020.15,0,"Tyendinaga, Ontario",50,0,indigineous tribes; mohawk tribe,land farm issue,,,,arrests,crowd dispersal,,,,,
Cuba,1994,North America,8/5/1994,1994.59,8/5/1994,1994.59,1,Havana,1000,2,unspecified,"political behavior, process",,,,arrests,,,,,,
Cuba,1999,North America,6/15/1999,1999.45,6/15/1999,1999.45,0,Havana,50,0,cuban opposition activists,"political behavior, process",,,,ignore,,,,,,
Cuba,2012,North America,7/24/2012,2012.56,7/24/2012,2012.56,0,Havana,50,0,anti government activists,"political behavior, process",,,,arrests,,,,,,
Cuba,2014,North America,1/21/2014,2014.05,1/21/2014,2014.05,0,Holguin,100+,1,artisans and vendors,labor wage dispute,,,,beatings,crowd dispersal,,,,,
Cuba,2014,North America,12/30/2014,2014.99,12/30/2014,2014.99,0,Havana,50+,1,protesters,"political behavior, process",,,,arrests,crowd dispersal,,,,,
Cuba,2015,North America,1/4/2015,2015.01,1/4/2015,2015.01,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,1/11/2015,2015.03,1/11/2015,2015.03,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,1/18/2015,2015.05,1/18/2015,2015.05,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,1/25/2015,2015.07,1/25/2015,2015.07,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,2/1/2015,2015.08,2/1/2015,2015.08,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,2/8/2015,2015.1,2/8/2015,2015.1,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,2/15/2015,2015.12,2/15/2015,2015.12,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,2/22/2015,2015.14,2/22/2015,2015.14,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,3/1/2015,2015.16,3/1/2015,2015.16,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,3/8/2015,2015.18,3/8/2015,2015.18,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,3/15/2015,2015.2,3/15/2015,2015.2,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,3/22/2015,2015.22,3/22/2015,2015.22,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,3/29/2015,2015.24,3/29/2015,2015.24,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,4/5/2015,2015.26,4/5/2015,2015.26,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,4/12/2015,2015.28,4/12/2015,2015.28,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,4/19/2015,2015.3,4/19/2015,2015.3,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,4/26/2015,2015.32,4/26/2015,2015.32,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,5/3/2015,2015.33,5/3/2015,2015.33,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,5/10/2015,2015.35,5/10/2015,2015.35,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,5/17/2015,2015.37,5/17/2015,2015.37,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,5/24/2015,2015.39,5/24/2015,2015.39,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,5/31/2015,2015.41,5/31/2015,2015.41,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,6/7/2015,2015.43,6/7/2015,2015.43,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,6/14/2015,2015.45,6/14/2015,2015.45,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,6/21/2015,2015.47,6/21/2015,2015.47,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,6/28/2015,2015.49,6/28/2015,2015.49,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,7/5/2015,2015.51,7/5/2015,2015.51,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,7/12/2015,2015.53,7/12/2015,2015.53,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,7/19/2015,2015.55,7/19/2015,2015.55,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,7/26/2015,2015.56,7/26/2015,2015.56,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,8/2/2015,2015.58,8/2/2015,2015.58,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,8/9/2015,2015.6,8/9/2015,2015.6,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,8/16/2015,2015.62,8/16/2015,2015.62,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,8/23/2015,2015.64,8/23/2015,2015.64,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,8/30/2015,2015.66,8/30/2015,2015.66,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,9/6/2015,2015.68,9/6/2015,2015.68,0,Havana,100+,1,ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2015,North America,9/13/2015,2015.7,9/13/2015,2015.7,0,Havana,50+,0,protesters and ladies in white,"political behavior, process",,,,arrests,,,,,,
Cuba,2016,North America,1/3/2016,2016.01,1/3/2016,2016.01,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,1/10/2016,2016.02,1/10/2016,2016.02,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,1/17/2016,2016.04,1/17/2016,2016.04,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,1/24/2016,2016.06,1/24/2016,2016.06,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,1/31/2016,2016.08,1/31/2016,2016.08,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,2/7/2016,2016.1,2/7/2016,2016.1,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,2/14/2016,2016.12,2/14/2016,2016.12,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,2/21/2016,2016.14,2/21/2016,2016.14,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,2/28/2016,2016.16,2/28/2016,2016.16,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,3/6/2016,2016.18,3/6/2016,2016.18,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,3/13/2016,2016.2,3/13/2016,2016.2,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,3/20/2016,2016.22,3/20/2016,2016.22,0,"Santa Rita church, Havana",dozens,0,ladies in white,"political behavior, process",removal of politician,,,arrests,,,,,,
Cuba,2016,North America,3/27/2016,2016.23,3/27/2016,2016.23,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,4/3/2016,2016.25,4/3/2016,2016.25,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,4/10/2016,2016.27,4/10/2016,2016.27,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,4/17/2016,2016.29,4/17/2016,2016.29,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,4/24/2016,2016.31,4/24/2016,2016.31,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,5/1/2016,2016.33,5/1/2016,2016.33,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,beatings,crowd dispersal,,,,,
Cuba,2016,North America,5/8/2016,2016.35,5/8/2016,2016.35,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,5/15/2016,2016.37,5/15/2016,2016.37,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,5/22/2016,2016.39,5/22/2016,2016.39,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,5/29/2016,2016.41,5/29/2016,2016.41,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,6/5/2016,2016.43,6/5/2016,2016.43,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,6/12/2016,2016.45,6/12/2016,2016.45,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,6/19/2016,2016.46,6/19/2016,2016.46,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,6/26/2016,2016.48,6/26/2016,2016.48,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,7/3/2016,2016.5,7/3/2016,2016.5,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,7/10/2016,2016.52,7/10/2016,2016.52,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,7/17/2016,2016.54,7/17/2016,2016.54,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,7/24/2016,2016.56,7/24/2016,2016.56,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,7/31/2016,2016.58,7/31/2016,2016.58,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,8/7/2016,2016.6,8/7/2016,2016.6,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,8/14/2016,2016.62,8/14/2016,2016.62,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,8/21/2016,2016.64,8/21/2016,2016.64,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,8/28/2016,2016.66,8/28/2016,2016.66,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,9/4/2016,2016.67,9/4/2016,2016.67,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,9/11/2016,2016.69,9/11/2016,2016.69,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,9/18/2016,2016.71,9/18/2016,2016.71,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,9/25/2016,2016.73,9/25/2016,2016.73,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,10/2/2016,2016.75,10/2/2016,2016.75,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,10/9/2016,2016.77,10/9/2016,2016.77,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,10/16/2016,2016.79,10/16/2016,2016.79,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,10/23/2016,2016.81,10/23/2016,2016.81,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,10/30/2016,2016.83,10/30/2016,2016.83,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,11/6/2016,2016.85,11/6/2016,2016.85,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,11/13/2016,2016.87,11/13/2016,2016.87,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,11/20/2016,2016.89,11/20/2016,2016.89,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,11/27/2016,2016.9,11/27/2016,2016.9,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,12/4/2016,2016.92,12/4/2016,2016.92,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,12/11/2016,2016.94,12/11/2016,2016.94,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,12/18/2016,2016.96,12/18/2016,2016.96,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2016,North America,12/19/2016,2016.96,12/19/2016,2016.96,0,Havana,dozens,0,dissidents opposition,"political behavior, process",removal of politician,,,arrests,,,,,,
Cuba,2016,North America,12/25/2016,2016.98,12/25/2016,2016.98,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2017,North America,1/1/2017,2017,1/1/2017,2017,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2017,North America,1/8/2017,2017.02,1/8/2017,2017.02,0,Havana,dozens,0,ladies in white,"political behavior, process",removal of politician,,,ignore,,,,,,
Cuba,2019,North America,4/7/2019,2019.26,4/7/2019,2019.26,0,Havana,400,1,animal rights activists,"political behavior, process",,,,ignore,,,,,,
Cuba,2019,North America,9/1/2019,2019.67,9/1/2019,2019.67,0,Malec n,100,1,evangelicals,social restrictions,,,,ignore,,,,,,
Haiti,1990,North America,3/8/1990,1990.19,3/11/1990,1990.19,1,national,1000s,3,students,police brutality,removal of politician,,,crowd dispersal,shootings,arrests,killings,accomodation,,
Haiti,1990,North America,7/12/1990,1990.53,7/12/1990,1990.53,0,Port au Prince,1000s,3,political and labor leaders,"political behavior, process",,,,ignore,,,,,,
Haiti,1991,North America,10/12/1991,1991.78,10/12/1991,1991.78,1,Jeremie,1000s,3,supporters of jean bertrand aristide,"political behavior, process",,,,shootings,,,,,,
Haiti,1991,North America,11/1/1991,1991.83,11/1/1991,1991.83,0,Gonaives,300,1,youths in support of aristide,"political behavior, process",,,,ignore,,,,,,
Haiti,1991,North America,11/12/1991,1991.86,11/12/1991,1991.86,0,Port au Prince,80,0,students,"political behavior, process",,,,beatings,arrests,,,,,
Haiti,1992,North America,2/24/1992,1992.15,2/24/1992,1992.15,0,Port au Prince,200,1,anti aristide demonstrators,"political behavior, process",,,,ignore,,,,,,
Haiti,1992,North America,7/15/1992,1992.54,7/15/1992,1992.54,0,Port au Prince,200,1,students,"political behavior, process",police brutality,,,beatings,shootings,arrests,,,,
Haiti,1993,North America,2/26/1993,1993.15,2/26/1993,1993.15,1,Port au Prince,2500,3,unspecified,"political behavior, process",,,,arrests,,,,,,
Haiti,1993,North America,4/4/1993,1993.25,4/4/1993,1993.25,0,Port au Prince,300,1,roman catholic priests,"political behavior, process",,,,ignore,,,,,,
Haiti,1993,North America,10/4/1993,1993.76,10/4/1993,1993.76,1,Port au Prince,150,1,unspecified,"political behavior, process",,,,ignore,,,,,,
Haiti,1993,North America,10/9/1993,1993.77,10/9/1993,1993.77,1,Port au Prince,500,1,unspecified,"political behavior, process",,,,ignore,,,,,,
Haiti,1993,North America,11/1/1993,1993.83,11/1/1993,1993.83,0,Port au Prince,200,1,supporters of right wing groups,"political behavior, process",,,,ignore,,,,,,
Haiti,1994,North America,2/4/1994,1994.09,2/4/1994,1994.09,0,Port au Prince,2000,3,a far right paramilitary political group,"political behavior, process",,,,ignore,,,,,,
Haiti,1994,North America,9/20/1994,1994.72,9/20/1994,1994.72,1,Port au Prince,1000s,3,aristide supporters,"political behavior, process",,,,beatings,killings,crowd dispersal,,,,
Haiti,1994,North America,9/24/1994,1994.73,9/24/1994,1994.73,0,Port au Prince,1000s,3,aristide supporters,"political behavior, process",,,,crowd dispersal,beatings,,,,,
Haiti,1994,North America,9/24/1994,1994.73,9/24/1994,1994.73,1,Gonaives,10000,4,aristide supporters,"political behavior, process",,,,ignore,,,,,,
Haiti,1994,North America,9/25/1994,1994.73,9/25/1994,1994.73,0,Port au Prince,100s,1,aristide supporters,police brutality,"political behavior, process",,,accomodation,,,,,,
Haiti,1994,North America,9/30/1994,1994.75,9/30/1994,1994.75,1,Port au Prince,1000s,3,aristide supporters,"political behavior, process",,,,shootings,beatings,killings,,,,
Haiti,1994,North America,10/9/1994,1994.77,10/9/1994,1994.77,0,Cap Haitien,100s,1,aristide supporters,"political behavior, process",police brutality,,,accomodation,,,,,,
Haiti,1994,North America,10/9/1994,1994.77,10/9/1994,1994.77,0,Demizaine,100s,1,aristide supporters,"political behavior, process",,,,killings,,,,,,
Haiti,1994,North America,11/11/1994,1994.86,11/11/1994,1994.86,1,Port au Prince,2000,3,students,"political behavior, process",,,,ignore,,,,,,
Haiti,1994,North America,12/26/1994,1994.98,12/26/1994,1994.98,1,Port au Prince,80,0,former soldiers,labor wage dispute,,,,shootings,killings,arrests,,,,
Haiti,1995,North America,6/25/1995,1995.48,6/25/1995,1995.48,0,Desdunes,100s,1,residents,"political behavior, process",,,,accomodation,,,,,,
Haiti,1995,North America,11/23/1995,1995.89,11/23/1995,1995.89,1,Cite Soleil,50,0,residents of cite soleil,police brutality,,,,ignore,,,,,,
