YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS,1
2022,Basin Electric Power Cooperative,1013043,1717 East Interstate Avenue,46.83447,-100.76678,Bismarck,BURLEIGH COUNTY,ND,58503,BASIN ELECTRIC POWER COOPERATIVE (100%),7945,DD,1
2022,Bonneville Power Administration - Transmission,1005611,5411 NE Hwy 99,45.6616,-122.6572,Vancouver,CLARK COUNTY,WA,98663,US GOVERNMENT (%),8511,DD,1
2022,CENTURY ALUMINUM OF KENTUCKY,1006853,1627 STATE ROUTE 3543,37.94499,-86.78777,HAWESVILLE,HANCOCK COUNTY,KY,42348,CENTURY ALUMINUM CO (100%),189248,"C,F",1
2022,CHEMOURS CHAMBERS WORKS,1002618,"67 Canal Road, PO Box 9001",39.68203,-75.490544,DEEPWATER,SALEM COUNTY,NJ,8023,THE CHEMOURS CO (100%),37200,"C,L,OO,TT",1
2022,CHEMOURS COMPANY - FAYETTEVILLE WORKS,1006145,22828 NC HIGHWAY 87 WEST,34.8419,-78.8388,FAYETTEVILLE,BLADEN COUNTY,NC,28306,THE CHEMOURS CO (100%),18628,"C,L,OO",1
2022,CHEMOURS EL DORADO,1003890,322 SOUTHFIELD CUTOFF,33.11,-92.675,EL DORADO,UNION COUNTY,AR,71730,THE CHEMOURS CO (100%),73364,"C,L,OO",1
2022,CHEMOURS LOUISVILLE WORKS,1004133,4200 CAMP GROUND ROAD,38.217166,-85.841979,LOUISVILLE,JEFFERSON COUNTY,KY,40216,THE CHEMOURS CO (100%),2179463,"C,O,TT",1
2022,CHEMOURS WASHINGTON WORKS,1002176,8480 DUPONT ROAD,39.271944,-81.661667,WASHINGTON,WOOD COUNTY,WV,26181,THE CHEMOURS CO (100%),1101931,"C,L,O,OO",1
2022,CON EDISON - ELECTRIC TRANSMISSION & DISTRIBUTION SYSTEM,1006158,4 Irving Place,40.7341,-73.98868,New York,NEW YORK COUNTY,NY,10003,CONSOLIDATED EDISON INC (100%),61034,DD,1
2022,CONSOLIDATE PRECISION PRODUCTS - MINNEAPOLIS OPERATION,1002358,8701 HARRIET AVE. S.,44.84614,-93.28603,BLOOMINGTON,HENNEPIN COUNTY,MN,55420,WARBURG PINCUS LLC (100%),30780,"C,T",1
2022,"CenterPoint Energy Houston Electric, LLC substations",1008343,"4500 South Shaver, Building D",29.639182,-95.208525,Houston,HARRIS COUNTY,TX,77034,CENTERPOINT ENERGY INC (100%),23070,DD,1
2022,Central Hudson Gas and Electric Corporation Elec T&D Equipment,1011288,284 South Avenue,41.690648,-73.931605,Poughkeepsie,DUTCHESS COUNTY,NY,12601,CENTRAL HUDSON GAS & ELECTRIC CORP (100%),1407,DD,1
2022,Century Aluminum Sebree LLC,1006666,9404 STATE ROUTE 2096,37.6569,-87.5006,Robards,HENDERSON COUNTY,KY,42452,CENTURY ALUMINUM CO (100%),173153,"C,F",1
2022,"Century Aluminum of South Carolina, Inc.",1002112,3575 HIGHWAY 52,33.051743,-80.054289,GOOSE CREEK,BERKELEY COUNTY,SC,29445,CENTURY ALUMINUM CO (100%),107243,"C,F",1
2022,Chemours - Corpus Christi Plant,1006314,2500 4th Street,27.91929,-97.28451,Gregory,SAN PATRICIO COUNTY,TX,78359,THE CHEMOURS CO (100%),56178,"C,L,OO",1
2022,Chicago White Metal Castings Inc,1009927,649 N Route 83,41.73701,-87.98919,Bensenville,,IL,60106,CHICAGO WHITE METAL CASTING INC (100%),13962,T,1
2022,Chugach Electric Association,1014709,5601 Electron Drive,61.1678,-149.909,Anchorage,ANCHORAGE MUNICIPALITY,AK,99518,CHUGACH ELECTRIC ASSOC INC (100%),1263,DD,1
2022,Clark Energy Center,1009507,6520 Glass Factory Road,43.17781,-75.22843,Marcy,ONEIDA COUNTY,NY,13403,NEW YORK POWER AUTHORITY (100%),36626,DD,1
2022,Consumers Energy - Electric Asset Management,1009855,One Energy Plaza,42.24668,-84.40311,Jackson,JACKSON COUNTY,MI,49201,CMS ENERGY CORP (100%),1965,DD,1
2022,Cypress Semiconductor,1010141,5204 EAST BEN WHITE BLVD,30.21421,-97.72481,AUSTIN,TRAVIS COUNTY,TX,78741,CYPRESS SEMICONDUCTOR CORP (100%),71741,"C,I",1
2022,DAIKIN AMERICA INC.,1005062,905 STATE DOCKS ROAD,34.630486,-87.039444,DECATUR,MORGAN COUNTY,AL,35601,DAIKIN HOLDINGS AMERICA INC (100%),726206,"C,L,O,OO",1
2022,DOW TEXAS OPERATIONS FREEPORT,1002040,2301 N. BRAZOSPORT BLVD. BUILDING B-101,28.9792,-95.3549,FREEPORT,BRAZORIA COUNTY,TX,77541,DOW INC (100%),202,"C,DD,TT,W,X",1
2022,Diodes US Manufacturing Incorporated,1009581,333 Western Avenue,43.640687,-70.325903,South Portland,CUMBERLAND COUNTY,ME,4106,Diodes INC (100%),18492,"C,I",1
2022,Duke Energy Power Delivery Carolinas,1009685,526 South Church St,35.22476,-80.84901,Charlotte,MECKLENBURG COUNTY,NC,28202,DUKE ENERGY CORP (100%),189079,DD,1
2022,Duke Energy Power Delivery Midwest,1009540,139 East Fourth Street,39.10036,-84.50994,Cincinnati,HAMILTON COUNTY,OH,45202,DUKE ENERGY CORP (100%),39353,DD,1
2022,East Garden City Substation,1008769,595 Stewart Avenue,40.731721,-73.611541,Garden City,NASSAU COUNTY,NY,11599,NEW YORK POWER AUTHORITY (100%),199,DD,1
2022,East Kentucky Power Transmission System,1001695,4775 Lexington Road,38.02152,-84.25715,Winchester,CLARK COUNTY,KY,40391,EAST KENTUCKY POWER COOPERATIVE INC (100%),4832,DD,1
2022,Entergy (all subsidiary companies),1011120,639 Loyola Ave.,29.94914,-90.07633,New Orleans,ORLEANS PARISH,LA,70113,ENTERGY CORP (100%),53030,DD,1
2022,Evergy Transmission and Distribution,1009620,818 S Kansas Ave,39.04854,-95.67468,Topeka,SHAWNEE COUNTY,KS,66612,EVERGY INC (100%),52782,DD,1
2022,FPL Transmission and Distribution System,1003060,"2455 Port West Blvd, BLDG-E",26.768814,-80.101219,Riviera Beach,PALM BEACH COUNTY,FL,33407,NEXTERA ENERGY INC (100%),15986,DD,1
2022,Fairchild Semiconductor,1009580,125 Crestwood Drive,41.141875,-75.89487,Mountain Top,LUZERNE COUNTY,PA,18707,SEMICONDUCTOR COMPONENT INDUSTRIES (100%),23808,"C,I",1
2022,FirstEnergy Substation Group,1009854,76 South Main Street,41.08312,-81.51766,Akron,SUMMIT COUNTY,OH,44308,FIRSTENERGY CORP (100%),87326,DD,1
2022,G & W Electric Company,1009613,305 West Crossroads Parkway,41.67386,-88.074253,Bolingbrook,,IL,60440,G & W ELECTRIC CO (100%),56136,"C,QQ,SS",1
2022,GE GLOBAL RESEARCH CENTER,1004412,ONE RESEARCH CIRCLE,42.830953,-73.876394,NISKAYUNA,SCHENECTADY COUNTY,NY,12309,GENERAL ELECTRIC CO (100%),1550,"C,I",1
2022,GE's Grid Solutions,1000039,One Power Lane,40.124713,-79.930463,Charleroi,WASHINGTON COUNTY,PA,15022,GENERAL ELECTRIC CO (100%),29610,"C,QQ,SS",1
2022,GLOBALFOUNDRIES U.S. 2 LLC - Vermont Facility,1003726,1000 RIVER STREET - B966,44.48106,-73.106912,ESSEX JUNCTION,CHITTENDEN COUNTY,VT,5452,GLOBALFOUNDRIES US INC (100%),202091,"C,I",1
2022,GLOBALFOUNDRIES U.S. Inc. Fab 8,1010586,400 Stone Break Road Extension,42.970089,-73.75437,Malta,SARATOGA COUNTY,NY,12020,GLOBALFOUNDRIES US INC (100%),146366,"C,I",1
2022,Galveston Bay Refinery,1005585,2401 5TH AVE S IN TEXAS CITY,29.3775,-94.9328,TEXAS CITY,GALVESTON COUNTY,TX,77592,MARATHON PETROLEUM CORP (100%),4558,"C,D,DD,MM,Y",1
2022,HECO Distribution and Transmission,1010344,820 Ward Avenue,21.30042,-157.85149,Honolulu,HONOLULU COUNTY,HI,96814,HAWAIIAN ELECTRIC INDUSTRIES INC (100%),13062,DD,1
2022,HONEYWELL INTERNATIONAL INC - BATON ROUGE PLANT,1000625,2966 LUPINE AVENUE,30.474444,-91.183056,BATON ROUGE,EAST BATON ROUGE PARISH,LA,70805,HONEYWELL INTERNATIONAL INC (100%),7238,"C,L,OO",1
2022,HONEYWELL INTERNATIONAL INC - GEISMAR COMPLEX,1006070,5525 HWY 3115,30.2219,-91.0515,GEISMAR,ASCENSION PARISH,LA,70734,HONEYWELL INTERNATIONAL INC (100%),248709,"C,L,O,OO",1
2022,"Hitachi Energy USA, Inc.",1006009,100 Distribution Circle,40.17811,-79.57707,Mt. Pleasant,WESTMORELAND COUNTY,PA,15666,ABB LTD (100%),1596,SS,1
2022,Honeywell Aerospace - Plymouth,1010241,12001 Highway 55,44.99442,-93.43654,Plymouth,HENNEPIN COUNTY,MN,55441,HONEYWELL INTERNATIONAL INC (100%),36948,"C,I",1
2022,Hummel Station LLC,1013286,2386 N. Old Trail Road,40.8361,-76.825,Selinsgrove,SNYDER COUNTY,PA,17876,HUMMEL STATION LLC (100%),207,"C,D,DD",1
2022,INTEL CORPORATION - Ocotillo Campus,1004371,4500 SOUTH DOBSON ROAD,33.24591,-111.88146,CHANDLER,MARICOPA COUNTY,AZ,85248,INTEL CORP (100%),341951,"C,I",1
2022,INTEL CORPORATION - RIO RANCHO FACILITY,1003997,4100 SARA ROAD,35.23133,-106.65608,RIO RANCHO,SANDOVAL COUNTY,NM,87124,INTEL CORP (100%),32683,"C,I",1
2022,INTEL CORPORATION ALOHA CAMPUS,1009606,3585 S.W. 198TH AVENUE,45.493297,-122.88506,ALOHA,WASHINGTON COUNTY,OR,97007,INTEL CORP (100%),12126,"C,I",1
2022,INTEL CORPORATION RONLER ACRES CAMPUS,1004006,2501 NE Century Boulevard,45.501476,-122.91696,HILLSBORO,WASHINGTON COUNTY,OR,97124,INTEL CORP (100%),213388,"C,I",1
2022,ITC Midwest,1009726,27175 Energy Way,42.4926,-83.44298,Novi,OAKLAND COUNTY,MI,48377,ITC INVESTMENT HOLDINGS INC (100%),9033,DD,1
2022,ITC Transmission/Michigan Electric Transmission Company,1009725,27175 Energy Way,42.4926,-83.44298,Novi,OAKLAND COUNTY,MI,48377,ITC INVESTMENT HOLDINGS INC (100%),4887,DD,1
2022,Infineon Technologies Americas Corp,1009951,41915 Business Park Dr,33.49944,-117.16294,Temecula,RIVERSIDE COUNTY,CA,92590,INFINEON TECHNOLOGIES AMERICAS CORP (100%),11995,"C,I",1
2022,"Jireh Semiconductor, Inc.",1008262,3131 Ne Brookwood Pkwy,45.547995,-122.931363,Hillsboro,WASHINGTON COUNTY,OR,97124,ALPHA & OMEGA SEMICONDUCTOR (100%),99801,"C,I",1
2022,Kern River Cogeneration Facility,1004001,1546 SW China Grade Loop,35.4518,-118.9851,BAKERSFIELD,KERN COUNTY,CA,93308,CHEVRON CORP (100%),64,"C,DD",1
2022,LA Semiconductor,1008930,2300 Buckskin Rd,42.866748,-112.414601,Pocatello,BANNOCK COUNTY,ID,83201,SEMICONDUCTOR COMPONENT INDUSTRIES (100%),29042,"C,I",1
2022,LCRA Transmission Services,1009894,3700 Lake Austin Blvd,30.29394,-97.78362,Austin,TRAVIS COUNTY,TX,78703,LCRA WHOLESALE ENERGY SERVICES CORP (100%),42867,DD,1
2022,"LG&E and KU Energy, LLC - Subpart DD SF6",1009765,220 West Main Street,38.25634,-85.75418,Louisville,JEFFERSON COUNTY,KY,40202,PPL CORP (100%),4382,DD,1
2022,LIPA T&D System,1009868,333 Earle Ovington Blvd,40.724276,-73.59322,Uniondale,NASSAU COUNTY,NY,11553,LONG ISLAND POWER AUTHORITY (100%),30600,DD,1
2022,Liberty Utilities Kodiak Service Center,1013238,3400 S. Kodiak Rd.,37.05216,-94.405951,Joplin,NEWTON COUNTY,MO,64804,LIBERTY UTILITIES CO (100%),6545,DD,1
2022,Los Angeles Department of Water and Power - electric power transmission & distribution entity (SF6),1009555,111 N. Hope Street,34.05651,-118.24976,Los Angeles,LOS ANGELES COUNTY,CA,90012,CITY OF LOS ANGELES CALIFORNIA (100%),7383,DD,1
2022,MEXICHEM FLUOR INC.,1006675,4990B ICI ROAD,30.235778,-91.096005,SAINT GABRIEL,IBERVILLE PARISH,LA,70776,MEXICHEM FLUOR INC (100%),22776,"C,L,OO",1
2022,MICROCHIP TECHNOLOGY INC,1004883,21015 SOUTHEAST STARK STREET,45.52065,-122.44749,GRESHAM,MULTNOMAH COUNTY,OR,97030,MICROCHIP TECHNOLOGY INC (100%),125112,"C,I",1
2022,"MICRON TECHNOLOGY, INC.",1004325,8000 SOUTH FEDERAL WAY,43.5268,-116.1449,BOISE,ADA COUNTY,ID,83707,MICRON TECHNOLOGY INC (100%),1379,"C,I",1
2022,MagRetech LLC,1010145,301 Count Road 177,41.28298,-82.88773,Bellevue,,OH,44811,MAGNESIUM REFINING TECHNOLOGIES INC (100%),113478,"C,T",1
2022,Magnitude 7 Metals LLC,1005534,391 St. Jude Industrial Park,36.510698,-89.564834,Marston,NEW MADRID COUNTY,MO,63866,MAGNITUDE 7 METALS LLC (100%),83767,"C,F",1
2022,Microchip Technology,1009792,1150 E. Cheyenne Mountain Boulevard,38.78695,-104.80641,Colorado Springs,EL PASO COUNTY,CO,80906,MICROCHIP TECHNOLOGY INC (100%),161542,"C,I",1
2022,Microchip Technology Inc.,1008768,1200 S. 52nd Street,33.41663,-111.96953,Tempe,MARICOPA COUNTY,AZ,85281,MICROCHIP TECHNOLOGY INC (100%),80105,"C,I",1
2022,"Micron Technology, Inc.",1009805,9600 Godwin Drive,38.74876,-77.51142,Manassas,MANASSAS CITY,VA,20110,MICRON TECHNOLOGY INC (100%),223446,"C,I",1
2022,MidAmerican Energy Company,1009627,"666 Grand Avenue, Suite 500",41.58758,-93.62616,Des Moines,POLK COUNTY,IA,50309,BERKSHIRE HATHAWAY INC (100%),5271,DD,1
2022,"Mitsubishi Electric Power Products, Inc.",1005459,530 Keystone Drive,40.66715,-80.11272,Warrendale,,PA,15086,MITSUBISHI ELECTRIC CORP (100%),34294,"OO,QQ,SS",1
2022,Montana-Dakota Utilities Co. - Electric Power System,1014009,400 N Fourth St.,46.80891,-100.7861,Bismarck,BURLEIGH COUNTY,ND,58501,MDU RESOURCES GROUP INC (100%),1479,DD,1
2022,NIPSCO Electric Transmission,1010121,801 East 86th Avenue,41.46339,-87.32624,Merrillville,LAKE COUNTY,IN,46410,NISOURCE INC (100%),13570,DD,1
2022,NPPD T&D System,1010049,1414 15th Street,41.43107,-97.34489,Columbus,PLATTE COUNTY,NE,68601,NEBRASKA PUBLIC POWER DISTRICT (100%),7820,DD,1
2022,NXP Semiconductors - EB site,1010066,3501 Ed Bluestein Blvd.,30.27065,-97.66924,Austin,TRAVIS COUNTY,TX,78721,NXP SEMICONDUCTORS USA (100%),77012,"C,I",1
2022,NXP Semiconductors - OH site,1010067,6501 W. William Cannon Dr.,30.2368,-97.86504,Austin,TRAVIS COUNTY,TX,78735,NXP USA INC (100%),151723,"C,I",1
2022,NXP Semiconductors Chandler Site,1010083,1300 N. Alma School Rd.,33.32412,-111.85919,Chandler,MARICOPA COUNTY,AZ,85224,FREESCALE SEMICONDUCTOR HOLDINGS V INC (100%),84565,"C,I",1
2022,Nevada Power d/b/a NV Energy Transmission,1009612,6226 West Sahara Ave,36.14427,-115.22733,Las Vegas,CLARK COUNTY,NV,89146,BERKSHIRE HATHAWAY INC (100%),21333,DD,1
2022,New England Power Company,1009741,40 Sylvan Road,42.396463,-71.271237,Waltham,MIDDLESEX COUNTY,MA,2451,NATIONAL GRID USA (100%),6029,DD,1
2022,Newport Fab LLC (dba TowerJazz),1010139,4321 Jamboree Road,33.66314,-117.85918,Newport Beach,ORANGE COUNTY,CA,92660,TOWER US HOLDINGS IN (100%),68864,"C,I",1
2022,Niagara Mohawk Electric,1010791,300 Erie Boulevard West,43.05085,-76.15701,Syracuse,ONONDAGA COUNTY,NY,13202,NATIONAL GRID USA (100%),27647,DD,1
2022,"Northern States Power Company, A Minnesota Corporation - Subpart DD",1009542,414 Nicollet Mall,44.97967,-93.26989,Minneapolis,HENNEPIN COUNTY,MN,55401,XCEL ENERGY INC (100%),74282,DD,1
2022,ON Semiconductor,1007527,23400 NE Glisan Street,45.524721,-122.426083,Gresham,MULTNOMAH COUNTY,OR,97030,SEMICONDUCTOR COMPONENT INDUSTRIES (100%),122918,"C,I",1
2022,Oklahoma Gas & Electric Co.,1007416,321 N Harvey Mailcode WN50,35.471181,-97.516602,Oklahoma City,OKLAHOMA COUNTY,OK,73102,OGE ENERGY CORP (100%),10759,DD,1
2022,Oncor Electric Delivery,1008107,1616 Woodall Rodgers Freeway,32.78705,-96.80382,Dallas,DALLAS COUNTY,TX,75202,SEMPRA ENERGY (80.03%); TEXAS TRANSMISSION HOLDING CORP (19.75%),26931,DD,1
2022,Onsemi East Fishkill Facility,1004300,2070 ROUTE 52,41.54464,-73.82896,HOPEWELL JUNCTION,DUTCHESS COUNTY,NY,12533,SEMICONDUCTOR COMPONENT INDUSTRIES (100%),159047,"C,I",1
2022,Otter Tail Power Co. Transmisstion & Distribution System,1013650,215 S. Cascade St.,46.28221,-96.07241,Fergus Falls,OTTER TAIL COUNTY,MN,56537,OTTER TAIL CORP (100%),310,DD,1
2022,PECO Transmission and Distribution,1000326,2301 Market Street  S7-2,39.832588,-75.424143,Philadelphia,DELAWARE COUNTY,PA,19103,EXELON CORP (100%),11821,DD,1
2022,PGE T&D Facility,1010144,121 SW Salmon Street,45.52,-122.66999,Portland,MULTNOMAH COUNTY,OR,97204,PORTLAND GENERAL ELECTRIC CO (100%),7008,DD,1
2022,PNM Electric Operations,1009440,4201 Edith Boulevard NE,35.12388,-106.6329,Albuquerque,BERNALILLO COUNTY,NM,87107,PNM RESOURCES INC (100%),8163,DD,1
2022,PREPA Electrical Transmission and Distribution Equiment,1010191,Ponce de Leon Avenue Box 364267,18.466224,-66.105724,San Juan,SAN JUAN MUNICIPIO,PR,936,PUERTO RICO ELECTRIC POWER AUTHORITY (100%),21480,DD,1
2022,PSE&G Subpart DD,1010796,80 Park Plaza,40.73811,-74.16993,Newark,ESSEX COUNTY,NJ,7102,PUBLIC SERVICE ENTERPRISE GROUP INC (100%),22981,DD,1
2022,PacifiCorp (T&D System),1009619,"1407 west North Temple, Suite 110",40.77141,-111.92972,Salt Lake City,SALT LAKE COUNTY,UT,84116,BERKSHIRE HATHAWAY INC (100%),69280,DD,1
2022,Pacific Gas and Electric Company (PG&E) - SF6 Emissions,1009578,77 Beale Street,37.79134,-122.39604,San Francisco,SAN FRANCISCO COUNTY,CA,94105,PG&E CORP (100%),13041,DD,1
2022,Polar Semiconductor LLC,1009807,2800 E Old Shakopee Rd,44.85312,-93.2301,Bloomington,HENNEPIN COUNTY,MN,55425,POLAR SEMICONDUCTOR LLC (100%),50491,"C,I",1
2022,PowerSouth Transmission System,1013811,2027 East Three Notch Street,31.32981,-86.46757,Andalusia,COVINGTON COUNTY,AL,36421,POWERSOUTH ENERGY COOPERATIVE (100%),1836,DD,1
2022,Public Service Company of Colorado - Subpart DD,1009543,414 Nicollet Mall,44.97967,-93.26989,Minneapolis,HENNEPIN COUNTY,MN,55401,XCEL ENERGY INC (100%),5770,DD,1
2022,Puget Sound Energy T&D,1010301,10885 N.E. 4th Street,47.61373,-122.19453,Bellevue,KING COUNTY,WA,98004,PUGET HOLDINGS LLC (100%),7272,DD,1
2022,QORVO,1010033,7628 Thorndike Road,36.07565,-79.96503,Greensboro,GUILFORD COUNTY,NC,27409,QORVO INC (100%),19833,"C,I",1
2022,Qorvo Texas LLC,1011813,500 W Renner Road,32.99761,-96.72705,Richardson,COLLIN COUNTY,TX,75080,QORVO INC (100%),32735,"C,I",1
2022,"Qorvo US, Inc.",1010254,2300 NE Brookwood Parkway,45.539682,-122.936288,Hillsboro,WASHINGTON COUNTY,OR,97124,QORVO INC (100%),58430,"C,I",1
2022,Rochester Gas and Electric - Subpart DD,1012430,89 East Avenue,43.15694,-77.60186,Rochester,MONROE COUNTY,NY,14649,AVANGRID INC (100%),1499,DD,1
2022,S&C Electric Company,1009615,6601 N. Ridge Blvd.,42.00231,-87.67662,Chicago,,IL,60626,S&C ELECTRIC CO (100%),8573,"C,QQ,SS",1
2022,SCE&G Electric Power Delivery,1009695,220 Operations Way,33.956548,-81.047512,Cayce,LEXINGTON COUNTY,SC,29033,DOMINION ENERGY INC (100%),22483,DD,1
2022,SKYWATER TECHNOLOGY INC,1000354,2401 E. 86TH ST.,44.84786,-93.23745,BLOOMINGTON,HENNEPIN COUNTY,MN,55425,OXBOW INDUSTRIES LLC (100%),85115,"C,I",1
2022,SYCAMORE COGENERATION Facility,1003998,1546 SW China Grade Loop,35.4518,-118.9851,BAKERSFIELD,KERN COUNTY,CA,93308,CHEVRON CORP (100%),580,"C,DD",1
2022,Salt River Project - T & D Equipment,1009888,1521 N. Project Drive,33.447479,-111.952819,Tempe,MARICOPA COUNTY,AZ,85281,UNS ENERGY CORP (7.7%); SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT (64.78%); EDISON INTERNATIONAL (3.89%); EL PASO ELECTRIC CO (3.38%); PINNACLE WEST CAPITAL CORP (10.63%); PNM RESOURCES INC (1.99%); SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY (1.32%),39319,DD,1
2022,Samsung Austin Semiconductor,1009872,12100 Samsung Blvd,30.375,-97.631386,Austin,TRAVIS COUNTY,TX,78754,SAMSUNG ELECTRONICS AMERICA INC (100%),719308,"C,I",1
2022,Sand Bluff Substation,1013191,,32.0035,-101.2729,Big Spring,GLASSCOCK COUNTY,TX,79720,WETT HOLDINGS LLC (100%),455,DD,1
2022,Seattle City Light,1010082,"700 5th Ave, Suite 3300, PO Box 34023",47.60443,-122.32983,Seattle,KING COUNTY,WA,98124,CITY OF SEATTLE (SEATTLE CITY LIGHT DEPARTMENT) (100%),1262,DD,1
2022,Sierra Pacific Power Co d/b/a NV Energy Transmission,1009784,6226 W Sahara Ave,36.14427,-115.22733,Las Vegas,CLARK COUNTY,NV,89146,BERKSHIRE HATHAWAY INC (100%),1350,DD,1
2022,"Skyworks Solutions, Inc.",1009735,20 Sylvan Road,42.49891,-71.16311,Woburn,MIDDLESEX COUNTY,MA,1801,SKYWORKS SOLUTIONS INC (100%),31472,"C,I",1
2022,Southern California Edison,1009787,2244 Walnut Grove Avenue,34.05394,-118.08024,Rosemead,LOS ANGELES COUNTY,CA,91770,EDISON INTERNATIONAL (100%),120230,DD,1
2022,Southern Company Transmission and Distribution,1009585,30 Ivan Allen Jr. Blvd. NW,33.76466,-84.38826,Atlanta,FULTON COUNTY,GA,30308,THE SOUTHERN CO (100%),60480,DD,1
2022,Southwestern Public Service Company - Subpart DD,1009544,414 Nicollet Mall,44.97967,-93.26989,Minneapolis,HENNEPIN COUNTY,MN,55401,XCEL ENERGY INC (100%),39846,DD,1
2022,"Spartan Light Metal Products, Inc.",1009864,510 East McClurken Ave,38.120564,-89.694121,Sparta,RANDOLPH COUNTY,IL,62286,SPARTAN LIGHT METAL PRODUCTS INC (100%),137461,"C,T",1
2022,T&D FLORIDA,1009537,299 FIRST AVE N,27.77209,-82.6371,SAINT PETERSBURG,PINELLAS COUNTY,FL,33701,DUKE ENERGY CORP (100%),2577,DD,1
2022,TAC Manufacturing,1012081,4111 County Farm Rd.,42.2748,-84.4741,Jackson,JACKSON COUNTY,MI,49201,TAC MANUFACTURING (100%),58277,T,1
